,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Oman,gamma,1013685.7540476862,1360.0,1012463.155107042,737,30.09355,0.016,2.0,0.032,1.0,7.017
1,51633,20,hybrid,1000,216,Bangladesh,delta,992985.2259878656,3000.0,990031.8659137598,897,30.220367,0.016,2.2,0.0352,1.0,3.4690000000000003
2,51633,20,hybrid,1000,216,Mozambique,delta,961079.1780747405,1360.0,959637.4021755996,3,22.425438,0.016,2.2,0.0352,1.0,3.366
3,51633,20,hybrid,1000,216,Oman,gamma,1014533.761778948,1440.0,1013302.965321568,695,29.87296,0.016,2.0,0.032,1.0,7.017
4,51633,20,hybrid,1000,216,Mozambique,beta,783435.4135185074,1280.0,782354.3848372288,376,22.323826,0.016,1.0,0.016,1.0,3.366
5,51633,20,hybrid,1000,216,Gambia,alpha,977660.2382758196,960.0,976746.6050870056,363,22.050957,0.016,1.67,0.02672,1.0,7.228999999999999
6,51633,20,hybrid,1000,216,Mozambique,beta,779139.2890215511,967.43008370688,778211.2506737356,49,22.326735,0.016,1.0,0.016,1.0,3.366
7,51633,20,hybrid,1000,216,Bangladesh,delta,993234.1094878594,2980.0,990053.5335324906,271,30.13845,0.016,2.2,0.0352,1.0,3.4690000000000003
8,51633,20,hybrid,1000,216,Bangladesh,delta,993316.4935300802,3020.0,990428.2117702328,967,30.18971,0.016,2.2,0.0352,1.0,3.4690000000000003
9,51633,20,hybrid,1000,216,Oman,gamma,1013846.101557066,1560.0,1012208.6176755852,577,29.885288,0.016,2.0,0.032,1.0,7.017
10,51633,20,hybrid,1000,216,Gambia,gamma,996053.1462494568,1040.0,995105.450167811,355,22.139406,0.016,2.0,0.032,1.0,7.228999999999999
11,51633,20,hybrid,1000,216,Oman,gamma,1013953.182229558,1540.0,1012246.7761048904,815,29.99112,0.016,2.0,0.032,1.0,7.017
12,51633,20,hybrid,1000,216,Bangladesh,delta,992471.2628319731,2820.0,989663.986027762,972,30.126715,0.016,2.2,0.0352,1.0,3.4690000000000003
13,51633,20,hybrid,1000,216,Mozambique,beta,788113.1565801615,1060.0,786950.5555439009,813,22.268883,0.016,1.0,0.016,1.0,3.366
14,51633,20,hybrid,1000,216,Oman,gamma,1013523.5268458304,1400.0,1012012.4413043445,934,29.874065,0.016,2.0,0.032,1.0,7.017
15,51633,20,hybrid,1000,216,Bangladesh,delta,993233.0573192836,2640.0,990407.636022981,406,30.114086,0.016,2.2,0.0352,1.0,3.4690000000000003
16,51633,20,hybrid,1000,216,Bangladesh,beta,875782.6228609941,2378.488425889504,874143.1190435451,328,30.130114,0.016,1.0,0.016,1.0,3.4690000000000003
17,51633,20,hybrid,1000,216,Mozambique,beta,784142.0083190915,1320.0,782751.743819774,863,22.246605,0.016,1.0,0.016,1.0,3.366
18,51633,20,hybrid,1000,216,Oman,gamma,1014550.129301887,1540.0,1013001.4866564794,887,29.9755,0.016,2.0,0.032,1.0,7.017
19,51633,20,hybrid,1000,216,Mozambique,beta,774040.1920911686,1240.0,773088.5496451894,400,22.243935,0.016,1.0,0.016,1.0,3.366
20,51633,20,hybrid,1000,216,Mozambique,alpha,917589.8629876444,920.0,916815.6820895718,512,22.256773,0.016,1.67,0.02672,1.0,3.366
21,51633,20,hybrid,1000,216,Bangladesh,delta,992264.6248224624,3120.0,989193.1066120917,353,30.287306,0.016,2.2,0.0352,1.0,3.4690000000000003
22,51633,20,hybrid,1000,216,Mozambique,beta,780456.4269016775,1000.0,779640.0667611035,91,22.152843,0.016,1.0,0.016,1.0,3.366
23,51633,20,hybrid,1000,216,Gambia,alpha,982764.1209308148,974.7731580847956,981842.3613344848,999,22.394665,0.016,1.67,0.02672,1.0,7.228999999999999
24,51633,20,hybrid,1000,216,Mozambique,beta,783511.3976233378,1038.4884258895036,782529.1702949641,16,22.304613,0.016,1.0,0.016,1.0,3.366
25,51633,20,hybrid,1000,216,Mozambique,delta,962651.229773532,1420.0,960927.0955639656,705,22.40041,0.016,2.2,0.0352,1.0,3.366
26,51633,20,hybrid,1000,216,Bangladesh,delta,992298.5174118616,2860.0,989309.102671185,143,30.14267,0.016,2.2,0.0352,1.0,3.4690000000000003
27,51633,20,hybrid,1000,216,Mozambique,beta,782557.5932509277,1120.0,781070.0267817392,1000,22.333252,0.016,1.0,0.016,1.0,3.366
28,51633,20,hybrid,1000,216,Oman,gamma,1014409.3174721156,1560.0,1013012.7937029948,795,29.991665,0.016,2.0,0.032,1.0,7.017
29,51633,20,hybrid,1000,216,Bangladesh,delta,994834.6557530226,2760.0,992419.8550447632,809,30.184792,0.016,2.2,0.0352,1.0,3.4690000000000003
30,51633,20,hybrid,1000,216,Oman,gamma,1014201.4095536426,1320.0,1012871.5105593256,127,30.017315,0.016,2.0,0.032,1.0,7.017
31,51633,20,hybrid,1000,216,Bangladesh,delta,991416.8053103524,2740.0,988681.7165129692,125,30.204094,0.016,2.2,0.0352,1.0,3.4690000000000003
32,51633,20,hybrid,1000,216,Gambia,alpha,981752.8461913116,1180.0,980519.446357878,604,22.15804,0.016,1.67,0.02672,1.0,7.228999999999999
33,51633,20,hybrid,1000,216,Bangladesh,delta,992775.3253797764,2519.889338934905,990437.7529497384,978,30.221193,0.016,2.2,0.0352,1.0,3.4690000000000003
34,51633,20,hybrid,1000,216,Bangladesh,delta,992370.9366157989,2540.0,989925.9749971929,719,30.170628,0.016,2.2,0.0352,1.0,3.4690000000000003
35,51633,20,hybrid,1000,216,Oman,gamma,1014120.1686367352,1540.0,1012621.8291631184,145,29.947073,0.016,2.0,0.032,1.0,7.017
36,51633,20,hybrid,1000,216,Oman,gamma,1014529.5563257914,1540.0,1012984.6607646048,353,30.07502,0.016,2.0,0.032,1.0,7.017
37,51633,20,hybrid,1000,216,Bangladesh,delta,992699.168632427,2810.3426315902666,989769.416319186,317,30.15227,0.016,2.2,0.0352,1.0,3.4690000000000003
38,51633,20,hybrid,1000,216,Gambia,alpha,981039.92997599,780.0,980090.7902095446,148,22.266588,0.016,1.67,0.02672,1.0,7.228999999999999
39,51633,20,hybrid,1000,216,Bangladesh,delta,993001.6316672496,2840.0,990062.4363368718,294,30.187414,0.016,2.2,0.0352,1.0,3.4690000000000003
40,51633,20,hybrid,1000,216,Bangladesh,beta,868111.4384566289,2384.29981696,866151.8736030372,232,29.974766,0.016,1.0,0.016,1.0,3.4690000000000003
41,51633,20,hybrid,1000,216,Gambia,alpha,982027.5605915324,1160.0,980919.2104321212,507,22.175262,0.016,1.67,0.02672,1.0,7.228999999999999
42,51633,20,hybrid,1000,216,Gambia,gamma,996106.0374292744,1120.0,995157.3635200316,489,22.224852,0.016,2.0,0.032,1.0,7.228999999999999
43,51633,20,hybrid,1000,216,Mozambique,beta,791616.559930956,1038.4884258895036,790213.6851619453,903,22.298878,0.016,1.0,0.016,1.0,3.366
44,51633,20,hybrid,1000,216,Gambia,gamma,998305.7719551472,960.0,997434.024210568,959,22.20395,0.016,2.0,0.032,1.0,7.228999999999999
45,51633,20,hybrid,1000,216,Gambia,alpha,980344.8685103994,1040.0,979438.7976839849,537,22.270525,0.016,1.67,0.02672,1.0,7.228999999999999
46,51633,20,hybrid,1000,216,Oman,gamma,1013966.1897395162,1560.0,1012349.9224156742,197,29.902548,0.016,2.0,0.032,1.0,7.017
47,51633,20,hybrid,1000,216,Mozambique,delta,958732.9703367188,1300.0,957472.5139936795,463,22.40553,0.016,2.2,0.0352,1.0,3.366
48,51633,20,hybrid,1000,216,Mozambique,gamma,945829.1084092614,1260.0,944466.9517117086,489,22.317305,0.016,2.0,0.032,1.0,3.366
49,51633,20,hybrid,1000,216,Bangladesh,delta,992881.2167081402,2240.0,990653.3326947284,566,30.103807,0.016,2.2,0.0352,1.0,3.4690000000000003
50,51633,20,hybrid,1000,216,Oman,beta,958570.3177970268,1140.0,957749.3238319176,492,29.965187,0.016,1.0,0.016,1.0,7.017
51,51633,20,hybrid,1000,216,Oman,alpha,1005157.9936266968,1260.0,1003828.417450057,639,29.956188,0.016,1.67,0.02672,1.0,7.017
52,51633,20,hybrid,1000,216,Bangladesh,delta,991706.0908377912,2800.0,989006.4351068712,969,30.169594,0.016,2.2,0.0352,1.0,3.4690000000000003
53,51633,20,hybrid,1000,216,Oman,gamma,1014070.2448362232,1400.0,1012458.2685860684,832,30.034477,0.016,2.0,0.032,1.0,7.017
54,51633,20,hybrid,1000,216,Gambia,beta,900511.6434510375,980.0,899616.2302506428,899,22.184156,0.016,1.0,0.016,1.0,7.228999999999999
55,51633,20,hybrid,1000,216,Bangladesh,delta,992514.176501464,2620.0,989874.5907695777,555,30.199455,0.016,2.2,0.0352,1.0,3.4690000000000003
56,51633,20,hybrid,1000,216,Gambia,delta,1004228.250100514,1280.0,1002964.006901552,511,22.427032,0.016,2.2,0.0352,1.0,7.228999999999999
57,51633,20,hybrid,1000,216,Mozambique,beta,786298.3935081516,1100.0,785444.9936645785,888,22.177902,0.016,1.0,0.016,1.0,3.366
58,51633,20,hybrid,1000,216,Mozambique,beta,778753.1701852262,880.0,777850.4643922024,482,22.306185,0.016,1.0,0.016,1.0,3.366
59,51633,20,hybrid,1000,216,Gambia,alpha,980180.897398355,1067.1777092703796,978938.4425333694,923,22.21356,0.016,1.67,0.02672,1.0,7.228999999999999
60,51633,20,hybrid,1000,216,Bangladesh,delta,992742.784379639,2480.0,990228.6713234276,436,30.144512,0.016,2.2,0.0352,1.0,3.4690000000000003
61,51633,20,hybrid,1000,216,Mozambique,alpha,917904.3781244964,1320.0,916875.6772522886,342,22.264856,0.016,1.67,0.02672,1.0,3.366
62,51633,20,hybrid,1000,216,Oman,delta,1016975.7803270052,1280.0,1015678.9468332176,273,30.071226,0.016,2.2,0.0352,1.0,7.017
63,51633,20,hybrid,1000,216,Bangladesh,delta,991642.09536779,2480.0,989394.4931529624,6,30.052074,0.016,2.2,0.0352,1.0,3.4690000000000003
64,51633,20,hybrid,1000,216,Mozambique,delta,960149.10716824,1360.0,958749.4217671892,356,22.195488,0.016,2.2,0.0352,1.0,3.366
65,51633,20,hybrid,1000,216,Oman,gamma,1013846.8001153535,1300.0,1012499.4648072555,376,30.03098,0.016,2.0,0.032,1.0,7.017
66,51633,20,hybrid,1000,216,Oman,alpha,1006067.9040214889,1460.0,1004557.5183116584,911,30.012693,0.016,1.67,0.02672,1.0,7.017
67,51633,20,hybrid,1000,216,Mozambique,delta,959159.9853088404,1140.0,958403.351545686,23,22.215963,0.016,2.2,0.0352,1.0,3.366
68,51633,20,hybrid,1000,216,Bangladesh,delta,992413.7678985642,2900.0,989633.0756570442,678,30.240648,0.016,2.2,0.0352,1.0,3.4690000000000003
69,51633,20,hybrid,1000,216,Oman,gamma,1014054.2649354088,1200.0,1012949.7708815684,190,29.94665,0.016,2.0,0.032,1.0,7.017
70,51633,20,hybrid,1000,216,Mozambique,beta,783264.6805849333,960.0,782097.794863266,36,22.269024,0.016,1.0,0.016,1.0,3.366
71,51633,20,hybrid,1000,216,Bangladesh,delta,993457.3318712354,2960.0,990542.737105029,478,30.081396,0.016,2.2,0.0352,1.0,3.4690000000000003
72,51633,20,hybrid,1000,216,Gambia,alpha,985074.8133810256,1220.0,984055.8996027872,32,22.155506,0.016,1.67,0.02672,1.0,7.228999999999999
73,51633,20,hybrid,1000,216,Mozambique,beta,778446.956842137,920.0,777414.6907037073,410,22.216051,0.016,1.0,0.016,1.0,3.366
74,51633,20,hybrid,1000,216,Mozambique,beta,784066.7290902094,1020.0,783197.9251463971,38,22.315619,0.016,1.0,0.016,1.0,3.366
75,51633,20,hybrid,1000,216,Bangladesh,delta,992542.2108479146,2360.0,990120.4428861836,866,30.188824,0.016,2.2,0.0352,1.0,3.4690000000000003
76,51633,20,hybrid,1000,216,Gambia,alpha,979272.7500214828,1260.0000000000002,977919.805249078,785,22.12831,0.016,1.67,0.02672,1.0,7.228999999999999
77,51633,20,hybrid,1000,216,Oman,gamma,1014266.0864010174,1580.0,1012791.4128103076,985,29.929508,0.016,2.0,0.032,1.0,7.017
78,51633,20,hybrid,1000,216,Mozambique,beta,783896.2033832896,1120.0,783060.4817742505,982,22.30951,0.016,1.0,0.016,1.0,3.366
79,51633,20,hybrid,1000,216,Oman,gamma,1013986.9054483802,1480.0,1012585.6885034528,65,29.949678,0.016,2.0,0.032,1.0,7.017
80,51633,20,hybrid,1000,216,Mozambique,beta,786070.6538583832,1060.0,784843.2094195927,953,22.248257,0.016,1.0,0.016,1.0,3.366
81,51633,20,hybrid,1000,216,Mozambique,alpha,923723.9949847776,1080.0,922822.583428302,36,22.269024,0.016,1.67,0.02672,1.0,3.366
82,51633,20,hybrid,1000,216,Mozambique,beta,787928.1603184319,1140.0,787006.9185325555,844,22.331978,0.016,1.0,0.016,1.0,3.366
83,51633,20,hybrid,1000,216,Mozambique,beta,785709.4450911308,1272.8391846454888,784810.3823485491,61,22.3782,0.016,1.0,0.016,1.0,3.366
84,51633,20,hybrid,1000,216,Oman,delta,1017852.7661104816,1380.0,1016481.2272310648,200,29.985256,0.016,2.2,0.0352,1.0,7.017
85,51633,20,hybrid,1000,216,Gambia,alpha,981063.270031008,1120.0,979990.8270521624,605,22.086931,0.016,1.67,0.02672,1.0,7.228999999999999
86,51633,20,hybrid,1000,216,Oman,gamma,1013108.7586809124,980.0,1011914.6601484744,942,29.923594,0.016,2.0,0.032,1.0,7.017
87,51633,20,hybrid,1000,216,Bangladesh,delta,992160.4202649036,2760.0,989369.1306628572,621,30.181427,0.016,2.2,0.0352,1.0,3.4690000000000003
88,51633,20,hybrid,1000,216,Mozambique,beta,785470.1807584135,785.159780352,784562.4816260049,746,22.322376,0.016,1.0,0.016,1.0,3.366
89,51633,20,hybrid,1000,216,Mozambique,alpha,920466.0312060196,1340.0,919328.7032099756,915,22.31147,0.016,1.67,0.02672,1.0,3.366
90,51633,20,hybrid,1000,216,Gambia,alpha,981776.8696121762,960.0,980851.820934146,918,22.305584,0.016,1.67,0.02672,1.0,7.228999999999999
91,51633,20,hybrid,1000,216,Oman,gamma,1014281.7824951104,1580.0,1012937.5896568446,398,29.959427,0.016,2.0,0.032,1.0,7.017
92,51633,20,hybrid,1000,216,Mozambique,beta,781013.4338529732,1000.0,779849.3695589055,980,22.201189,0.016,1.0,0.016,1.0,3.366
93,51633,20,hybrid,1000,216,Gambia,gamma,996701.6377300572,1080.0,995862.295388918,976,22.15731,0.016,2.0,0.032,1.0,7.228999999999999
94,51633,20,hybrid,1000,216,Bangladesh,beta,876388.5155310796,2420.0,873861.0963751071,804,30.405256,0.016,1.0,0.016,1.0,3.4690000000000003
95,51633,20,hybrid,1000,216,Bangladesh,delta,995755.2225791392,2460.0,993259.5693653368,810,30.174019,0.016,2.2,0.0352,1.0,3.4690000000000003
96,51633,20,hybrid,1000,216,Bangladesh,beta,869541.1951296474,2600.0,866870.3435667051,11,30.095459,0.016,1.0,0.016,1.0,3.4690000000000003
97,51633,20,hybrid,1000,216,Gambia,alpha,981145.6794525628,1220.0,980181.156756199,208,22.275055,0.016,1.67,0.02672,1.0,7.228999999999999
98,51633,20,hybrid,1000,216,Oman,gamma,1013494.4018191324,1640.0,1012027.8032962343,411,30.023844,0.016,2.0,0.032,1.0,7.017
99,51633,20,hybrid,1000,216,Mozambique,alpha,919525.3832313528,1100.0,918565.0324035796,536,22.312523,0.016,1.67,0.02672,1.0,3.366
100,51633,20,hybrid,1000,216,Bangladesh,delta,993117.1138788228,3320.0,989937.8186822956,429,30.2131,0.016,2.2,0.0352,1.0,3.4690000000000003
101,51633,20,hybrid,1000,216,Oman,gamma,1014063.5136908332,1580.0,1012572.0779700236,249,30.043375,0.016,2.0,0.032,1.0,7.017
102,51633,20,hybrid,1000,216,Gambia,alpha,980702.5451474268,1200.0,979497.8014385432,887,22.152115,0.016,1.67,0.02672,1.0,7.228999999999999
103,51633,20,hybrid,1000,216,Bangladesh,delta,992783.2435444748,2980.0,989917.450257001,680,29.909271,0.016,2.2,0.0352,1.0,3.4690000000000003
104,51633,20,hybrid,1000,216,Oman,delta,1017930.0178297396,1320.0,1016652.9719739952,619,29.920393,0.016,2.2,0.0352,1.0,7.017
105,51633,20,hybrid,1000,216,Gambia,alpha,978342.843696096,1100.0,976906.1784589804,93,22.154112,0.016,1.67,0.02672,1.0,7.228999999999999
106,51633,20,hybrid,1000,216,Mozambique,beta,779316.4255439143,855.4070215745863,778418.4477833426,144,22.228619,0.016,1.0,0.016,1.0,3.366
107,51633,20,hybrid,1000,216,Gambia,alpha,983847.88374443,1320.0,982585.8682933686,480,22.304026,0.016,1.67,0.02672,1.0,7.228999999999999
108,51633,20,hybrid,1000,216,Gambia,alpha,982813.6098985936,1120.0,981882.2613875248,792,22.24641,0.016,1.67,0.02672,1.0,7.228999999999999
109,51633,20,hybrid,1000,216,Gambia,alpha,981737.3045060429,980.0,980658.4996363958,812,22.066706,0.016,1.67,0.02672,1.0,7.228999999999999
110,51633,20,hybrid,1000,216,Mozambique,gamma,946319.3383951762,1460.0,944809.5170204889,232,22.140995,0.016,2.0,0.032,1.0,3.366
111,51633,20,hybrid,1000,216,Bangladesh,delta,992128.0303197108,2840.0,989215.4474276575,483,30.114687,0.016,2.2,0.0352,1.0,3.4690000000000003
112,51633,20,hybrid,1000,216,Gambia,alpha,981775.1529358008,920.0,980849.9022834358,308,22.082912,0.016,1.67,0.02672,1.0,7.228999999999999
113,51633,20,hybrid,1000,216,Bangladesh,delta,991817.7944415126,2760.0,989057.3371028714,303,30.081589,0.016,2.2,0.0352,1.0,3.4690000000000003
114,51633,20,hybrid,1000,216,Oman,gamma,1014339.5367938832,1180.0,1013162.3250428304,385,29.906683,0.016,2.0,0.032,1.0,7.017
115,51633,20,hybrid,1000,216,Gambia,alpha,980934.0148730046,1420.0,979601.0853617704,977,22.177444,0.016,1.67,0.02672,1.0,7.228999999999999
116,51633,20,hybrid,1000,216,Bangladesh,delta,992843.7112934912,2640.0,990061.141150123,3,30.313477,0.016,2.2,0.0352,1.0,3.4690000000000003
117,51633,20,hybrid,1000,216,Mozambique,beta,777738.451504651,902.985984,777134.1236888955,289,22.259315,0.016,1.0,0.016,1.0,3.366
118,51633,20,hybrid,1000,216,Bangladesh,delta,992727.5913430828,2700.0,989976.3196709284,207,30.140516,0.016,2.2,0.0352,1.0,3.4690000000000003
119,51633,20,hybrid,1000,216,Gambia,alpha,979962.265886078,1060.0,978588.4965814792,220,22.204144,0.016,1.67,0.02672,1.0,7.228999999999999
120,51633,20,hybrid,1000,216,Mozambique,beta,788678.1374086675,840.0,787923.4012288708,727,22.24616,0.016,1.0,0.016,1.0,3.366
121,51633,20,hybrid,1000,216,Gambia,alpha,980320.1093121064,880.0,979531.561489278,542,22.317747,0.016,1.67,0.02672,1.0,7.228999999999999
122,51633,20,hybrid,1000,216,Mozambique,beta,778468.604123393,1206.1917364224,777274.1420651599,873,22.110828,0.016,1.0,0.016,1.0,3.366
123,51633,20,hybrid,1000,216,Bangladesh,delta,994348.9748920782,2760.0,991613.0380872104,763,30.327593,0.016,2.2,0.0352,1.0,3.4690000000000003
124,51633,20,hybrid,1000,216,Mozambique,beta,784251.4888792059,1200.0,782797.7701004881,327,22.262114,0.016,1.0,0.016,1.0,3.366
125,51633,20,hybrid,1000,216,Oman,gamma,1013990.7662112184,1420.0,1012409.584382394,690,29.941467,0.016,2.0,0.032,1.0,7.017
126,51633,20,hybrid,1000,216,Bangladesh,delta,993098.5194572478,2860.0,990610.7955596476,598,30.185368,0.016,2.2,0.0352,1.0,3.4690000000000003
127,51633,20,hybrid,1000,216,Oman,gamma,1013667.2831473532,1540.0,1012202.3497765034,176,29.994022,0.016,2.0,0.032,1.0,7.017
128,51633,20,hybrid,1000,216,Oman,gamma,1015377.5716310956,1680.0,1013711.6246820658,489,29.997957,0.016,2.0,0.032,1.0,7.017
129,51633,20,hybrid,1000,216,Bangladesh,delta,993584.6188335242,2520.0,991162.3583835834,974,30.242682,0.016,2.2,0.0352,1.0,3.4690000000000003
130,51633,20,hybrid,1000,216,Gambia,beta,898167.1559999872,1020.0,897282.1983136727,306,22.142147,0.016,1.0,0.016,1.0,7.228999999999999
131,51633,20,hybrid,1000,216,Bangladesh,delta,992484.8819863464,2520.0,989953.4411073524,282,30.134306,0.016,2.2,0.0352,1.0,3.4690000000000003
132,51633,20,hybrid,1000,216,Gambia,alpha,980310.4931737405,960.0,979368.0724867166,943,22.150616,0.016,1.67,0.02672,1.0,7.228999999999999
133,51633,20,hybrid,1000,216,Mozambique,beta,784408.8212258113,940.0,783153.4389685865,771,22.29331,0.016,1.0,0.016,1.0,3.366
134,51633,20,hybrid,1000,216,Bangladesh,delta,992571.6939417704,2760.0,989605.641302045,842,30.272728,0.016,2.2,0.0352,1.0,3.4690000000000003
135,51633,20,hybrid,1000,216,Mozambique,beta,786415.2331182412,1148.916100448256,785186.9631736602,879,22.200682,0.016,1.0,0.016,1.0,3.366
136,51633,20,hybrid,1000,216,Gambia,delta,1003040.7899815288,1240.0,1001572.2791862407,599,22.208778,0.016,2.2,0.0352,1.0,7.228999999999999
137,51633,20,hybrid,1000,216,Bangladesh,delta,995444.4293323325,2900.0,992678.6197066428,900,30.113548,0.016,2.2,0.0352,1.0,3.4690000000000003
138,51633,20,hybrid,1000,216,Mozambique,beta,787042.1290279665,1140.0,785588.2923191185,183,22.388685,0.016,1.0,0.016,1.0,3.366
139,51633,20,hybrid,1000,216,Gambia,alpha,980934.0148730046,1420.0,979601.0853617704,977,22.177444,0.016,1.67,0.02672,1.0,7.228999999999999
140,51633,20,hybrid,1000,216,Gambia,gamma,995213.9384046176,1080.0,994042.6129539976,367,22.272604,0.016,2.0,0.032,1.0,7.228999999999999
141,51633,20,hybrid,1000,216,Gambia,alpha,983153.33138863,1120.0,982113.0508889352,672,22.175383,0.016,1.67,0.02672,1.0,7.228999999999999
142,51633,20,hybrid,1000,216,Gambia,alpha,980426.6040263894,1080.0,979383.7598238704,385,22.120533,0.016,1.67,0.02672,1.0,7.228999999999999
143,51633,20,hybrid,1000,216,Oman,gamma,1014737.5602512744,1560.0,1013365.489407522,689,29.965563,0.016,2.0,0.032,1.0,7.017
144,51633,20,hybrid,1000,216,Oman,gamma,1013650.4103221664,1460.0,1012288.5914918676,716,29.803162,0.016,2.0,0.032,1.0,7.017
145,51633,20,hybrid,1000,216,Oman,gamma,1015207.6505794176,1680.0,1013572.8834208456,103,30.005325,0.016,2.0,0.032,1.0,7.017
146,51633,20,hybrid,1000,216,Oman,gamma,1012545.2673836916,1420.0,1011098.8033163928,134,29.878342,0.016,2.0,0.032,1.0,7.017
147,51633,20,hybrid,1000,216,Oman,alpha,1005667.6326847386,1720.0,1003821.8316703668,832,30.034477,0.016,1.67,0.02672,1.0,7.017
148,51633,20,hybrid,1000,216,Gambia,alpha,979953.0589662543,1300.0,978675.267038138,320,22.077753,0.016,1.67,0.02672,1.0,7.228999999999999
149,51633,20,hybrid,1000,216,Gambia,alpha,979039.90321153,1180.0,978153.9504649094,873,22.035057,0.016,1.67,0.02672,1.0,7.228999999999999
150,51633,20,hybrid,1000,216,Mozambique,beta,778543.6586862465,1189.1877464274107,777484.2310496178,430,22.305538,0.016,1.0,0.016,1.0,3.366
151,51633,20,hybrid,1000,216,Mozambique,beta,783552.9808593881,1060.0,782485.2682980741,312,22.17772,0.016,1.0,0.016,1.0,3.366
152,51633,20,hybrid,1000,216,Gambia,delta,1003956.7693289212,1320.0,1002543.8441238092,248,22.153603,0.016,2.2,0.0352,1.0,7.228999999999999
153,51633,20,hybrid,1000,216,Mozambique,alpha,923786.631776178,1000.0,923143.930146378,317,22.236244,0.016,1.67,0.02672,1.0,3.366
154,51633,20,hybrid,1000,216,Bangladesh,delta,992959.2250490186,2620.0,990359.6176670416,392,30.180515,0.016,2.2,0.0352,1.0,3.4690000000000003
155,51633,20,hybrid,1000,216,Mozambique,beta,788848.8077665223,1120.0,787446.7799759428,129,22.320257,0.016,1.0,0.016,1.0,3.366
156,51633,20,hybrid,1000,216,Oman,gamma,1012570.624027668,1620.0,1011067.6952271182,876,29.935965,0.016,2.0,0.032,1.0,7.017
157,51633,20,hybrid,1000,216,Mozambique,beta,785477.3582949897,1240.0,783766.248693954,511,22.504543,0.016,1.0,0.016,1.0,3.366
158,51633,20,hybrid,1000,216,Gambia,alpha,983590.1903881552,1200.0,982484.8415009636,449,22.081823,0.016,1.67,0.02672,1.0,7.228999999999999
159,51633,20,hybrid,1000,216,Bangladesh,alpha,968058.1222540074,2740.0,965465.8735907326,986,30.194447,0.016,1.67,0.02672,1.0,3.4690000000000003
160,51633,20,hybrid,1000,216,Mozambique,beta,776860.6715742568,992.8391846454888,775991.6571366154,154,22.23254,0.016,1.0,0.016,1.0,3.366
161,51633,20,hybrid,1000,216,Bangladesh,delta,991242.5302162912,2880.0,988145.7802752826,491,30.04122,0.016,2.2,0.0352,1.0,3.4690000000000003
162,51633,20,hybrid,1000,216,Mozambique,beta,790602.5610781789,1187.43008370688,789497.9849614808,885,22.407305,0.016,1.0,0.016,1.0,3.366
163,51633,20,hybrid,1000,216,Mozambique,beta,777498.1191979087,740.0,776568.017694046,676,22.132515,0.016,1.0,0.016,1.0,3.366
164,51633,20,hybrid,1000,216,Gambia,alpha,979824.643980203,1091.305653512308,978905.80637745,290,22.266365,0.016,1.67,0.02672,1.0,7.228999999999999
165,51633,20,hybrid,1000,216,Mozambique,beta,784693.4905657967,960.0,784064.317274468,778,22.295374,0.016,1.0,0.016,1.0,3.366
166,51633,20,hybrid,1000,216,Mozambique,gamma,946893.3553468346,1320.0,945402.6294719476,917,22.37212,0.016,2.0,0.032,1.0,3.366
167,51633,20,hybrid,1000,216,Bangladesh,beta,871155.281060624,2620.0,868418.5828945828,607,30.116549,0.016,1.0,0.016,1.0,3.4690000000000003
168,51633,20,hybrid,1000,216,Gambia,alpha,982218.1329883024,1000.0,981244.385172839,776,22.253887,0.016,1.67,0.02672,1.0,7.228999999999999
169,51633,20,hybrid,1000,216,Mozambique,beta,777791.7730870756,867.4300837068799,776863.5681522237,258,22.324003,0.016,1.0,0.016,1.0,3.366
170,51633,20,hybrid,1000,216,Gambia,alpha,983707.9728889652,1220.0,982653.6199612776,66,22.246086,0.016,1.67,0.02672,1.0,7.228999999999999
171,51633,20,hybrid,1000,216,Oman,gamma,1013408.5788755338,1600.0,1011688.1477802632,245,29.961678,0.016,2.0,0.032,1.0,7.017
172,51633,20,hybrid,1000,216,Bangladesh,delta,991283.5878740916,2320.0,988900.432733063,296,30.174242,0.016,2.2,0.0352,1.0,3.4690000000000003
173,51633,20,hybrid,1000,216,Mozambique,beta,777875.5412782825,1260.0,776773.2438768931,345,22.252058,0.016,1.0,0.016,1.0,3.366
174,51633,20,hybrid,1000,216,Bangladesh,delta,992289.244656782,2840.0,989463.1736802008,823,29.994894,0.016,2.2,0.0352,1.0,3.4690000000000003
175,51633,20,hybrid,1000,216,Gambia,alpha,980103.8146599382,1040.0,979313.481183926,109,22.155386,0.016,1.67,0.02672,1.0,7.228999999999999
176,51633,20,hybrid,1000,216,Oman,alpha,1006639.8813334458,1280.0,1005258.5914128112,504,29.791994,0.016,1.67,0.02672,1.0,7.017
177,51633,20,hybrid,1000,216,Mozambique,gamma,943844.9023071948,1020.0,943039.6511531852,988,22.174093,0.016,2.0,0.032,1.0,3.366
178,51633,20,hybrid,1000,216,Bangladesh,delta,992252.7760650734,2360.0,989920.7340737088,619,30.147861,0.016,2.2,0.0352,1.0,3.4690000000000003
179,51633,20,hybrid,1000,216,Mozambique,gamma,947040.0334347412,1200.0,945994.2805732908,902,22.230043,0.016,2.0,0.032,1.0,3.366
